Date;Kilde;Forfatter;NNPF_assosiert
mandag 4. desember 2017; https://www.aftenposten.no/norge/i/p6LWGV/ung-mann-siktet-for-aa-ha-knivstukket-kvinne-paa-bussholdeplass ; author: og NTB ; NNPF: Jane Lundstadsveen
lørdag 2. desember 2017; https://www.aftenposten.no/norge/i/5VJ1ge/trusselvurdering-av-ikt-kriminalitet-politiet-gjoer-noe-men-ikke-nok ; author: Harald Stolt-NielsenJournalist ; NNPF: Thomas Stærk
lørdag 2. desember 2017; https://www.aftenposten.no/norge/i/5VJ1ge/trusselvurdering-av-ikt-kriminalitet-politiet-gjoer-noe-men-ikke-nok ; author: Harald Stolt-NielsenJournalist ; NNPF: Øyvind Buraas
fredag 17. november 2017; https://www.aftenposten.no/norge/i/8r2rW/dette-er-de-nye-narkolangerne-paa-det-moerke-nettet ; author: Trond J. StrømJournalist / researcher ; NNPF: Richard Beck Pedersen
onsdag 15. november 2017; https://www.aftenposten.no/norge/i/wyqqA/barn-sendes-til-utlandet-for-aa-komme-paa-rett-kjoel-men-for-flere-unge-blir-alt-bare-verre-av-det ; author: Thomas OlsenJournalist ; NNPF: Jan Erik Bresil
fredag 10. november 2017; https://www.aftenposten.no/norge/i/l8P5k/politileder-oensker-obligatoriske-foreldremoeter ; author: og NTB ; NNPF: Torbjørn Trommestad
lørdag 16. september 2017; https://www.aftenposten.no/norge/i/za2a5/fem-paagrepet-i-oslo-for-besittelse-av-vaapen-og-narkotika ; author: NTB ; NNPF: Nina Bakken
torsdag 20. juli 2017; https://www.aftenposten.no/norge/i/GVXwV/det-tar-over-to-timer-aa-sette-noen-i-sentralarresten-i-oslo-lokalt-i-baerum-staar-24-celler-tomme-og-ubrukte ; author: Harald Stolt-NielsenJournalist ; NNPF: Stein Olav Bredli
onsdag 14. juni 2017; https://www.aftenposten.no/norge/i/99maq/krever-tre-aar-og-ni-maaneder-for-narkotikasalg-paa-det-moerke-nettet ; author: Trond J. StrømJournalist / researcher ; NNPF: Richard Beck Pedersen
lørdag 3. juni 2017; https://www.aftenposten.no/norge/i/orXeR/mann-i-60-aarene-funnet-doed-i-sjoeen-ved-stavern ; author: NTB ; NNPF: Tom Richard Skuggedal
